Token-Name,Tier
USDE(ETH),4
USDT(ETH),2
USDT(POL),2
axlUSDT(Kava),3
USDT(Kava),3
MIM(ARB),3
USDC(ARB),1
USDC(ETH),1
USDC(AVAX),1
FDUSD(BNB),3
SUSD(ETH),4
FXUSD(ETH),4
DAI(ETH),1
USDC(OP),1
SUSD(OP),4
FRAX(ETH),4
USDM(ARB),4
OUSD(ETH),2
