Protocol,Tier
morpho-blue,3
abracadabra,2
venus-core-pool,3
aura,2
fx-protocol,4
curve-dex,1
deltaprime,4
yearn-finance,3
benddao-lending,4
stargate,4
uniswap-v3,1
velodrome-v2,3
frax-finance,4
compound-v3,1
across,3
aave-v3,2
spark,2
origin-dollar,2
