Token1,Token2,Protocol,PoolID,Rating,ROI,StrategyRating
USDC(ETH),USDC(ETH),compound-v3,7da72d09-56ca-4ec5-a45f-59114353e487,43455474545,7.05384,43455474545
DAI(ETH),DAI(ETH),spark,e26ce7d9-db75-4aa4-b1db-cc21ae17bdfb,31009276890,8.18363,31009276890
USDC(ETH),USDT(ETH),uniswap-v3,e737d721-f45c-40f0-9793-9f56261862b9,20928963247,4.37707,13952642164.666666
USDC(AVAX),USDC(AVAX),aave-v3,c4b05318-88af-4536-a834-f5fc8940d2d3,5716905155,6.59458,5716905155
OUSD(ETH),OUSD(ETH),origin-dollar,529258ee-9b27-4fcf-a32c-b82abb3fda68,5384599581,7.80938,2692299790.5
FRAX(ETH),FRAX(ETH),frax-finance,55de30c3-bf9f-4d4e-9e0b-536a8ef5ab35,4049103214,11.15115,1012275803.5
USDE(ETH),USDT(ETH),uniswap-v3,21dcab27-c7b3-44b8-8c2b-8c401c3e7098,2814601936,4.47693,938200645.3333334
USDT(POL),USDT(POL),stargate,546c918d-e16f-485a-b1aa-0eddb3f7c3b8,2733582915,8.00428,1366791457.5
USDC(ARB),USDC(ARB),deltaprime,41ef5890-d6f4-4c54-9c39-4505a7bac672,2068886376,16.84718,2068886376
