Protocol,Allocation ($),Weight (%)
aave,3965.48,39.65
curve-finance,1249.47,12.49
uniswap,2206.21,22.06
morpho,991.76,9.92
trader-joe,299.09,2.99
kamino,557.13,5.57
ethena,433.14,4.33
stargate,175.74,1.76
ramses-exchange,121.99,1.22
