Protocol,Rating,Tier
aave,40939278831865.36,B
curve-finance,4073259510063.0186,A
uniswap,12657578247022.22,A
morpho,2593918248953.7,B
trader-joe,235872074251.3176,C
kamino,811015873265.6978,C
ethena,491456911523.7953,F
stargate,81054355030.61427,F
ramses-exchange,38796457647.30892,F

