Protocol,Allocation ($),Weight (%)
USDT(kamino),1142.08,11.42
USDT(aave),3131.33,31.31
USDT(uniswap),1296.59,12.97
USDT(orpho),3941.29,39.41
USDT(trader-joe),488.71,4.89
