Protocol,Rating,Tier
aave,42825977207670.336,B
uniswap,12265746800507.791,A
curve-finance,3964947553260.96,A
morpho,2726910765649.336,B
kamino,746874561022.7317,C
ethena,592248290505.84,F
trader-joe,187902809381.47296,C
stargate,71617409528.82823,F
ramses-exchange,39932688984.54792,F
