Protocol,Rating,Allocation ($),Weight (%)
aave,40939278831865.36,3965.48,39.65
uniswap,12657578247022.22,2206.21,22.06
curve-finance,4073259510063.0186,1249.47,12.49
morpho,2593918248953.7,991.76,9.92
kamino,811015873265.6978,557.13,5.57
ethena,491456911523.7953,433.14,4.33
trader-joe,235872074251.3176,299.09,2.99
stargate,81054355030.61427,175.74,1.76
ramses-exchange,38796457647.30892,121.99,1.22
