Protocol,Allocation ($),Weight (%)
aave,447.50,4.48
curve-finance,2471.40,24.71
spark,1921.23,19.21
morpho,1628.89,16.29
pancakeswap,1425.16,14.25
kamino,744.46,7.44
convex-finance,623.96,6.24
stargate,315.87,3.16
yearn,300.00,3.00
pangolin,121.54,1.22
