Protocol,Allocation ($),Weight (%)
wsteth,1987.32,19.87
steth,3609.85,36.10
eeth,2379.88,23.80
ezeth,385.07,3.85
reth,759.58,7.60
cbeth,356.99,3.57
meth,303.55,3.04
rseth,217.76,2.18
