Token-Name,Token-Contract,Rating
wsteth,ethereum:0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,13570868974945.28
steth,ethereum:0xae7ab96520de3a18e5e111b5eaab095312d7fe84,45110844496824.70
ezeth,ethereum:0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,510089614944.55
reth,ethereum:0xae78736cd615f374d3085123a210448e74fc6393,1978633198809.96
cbeth,ethereum:0xbe9895146f7af43049ca1c1ae358b0541ea49704,438364678957.32
eeth,ethereum:0x35fA164735182de50811E8e2E824cFb9B6118ac2,19461516887131.85
meth,ethereum:0xd5F7838F5C461fefF7FE49ea5ebaF7728bB0ADfa,316894996423.37
rseth,ethereum:0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,162514164486.07
