Strategy,Protocol,ROI,Allocation ($),Weight (%)
USDC (ETH),compound-v3,7.05384,4378.12,29.19
DAI (ETH),spark,8.18363,2610.54,17.40
USDC/USDT (ETH),uniswap-v3,4.37707,2479.02,16.53
USDC (AVAX),aave-v3,6.59458,1120.10,7.47
OUSD (ETH),origin-dollar,7.80938,769.36,5.13
USDE/USDT (ETH),uniswap-v3,4.47693,642.86,4.29
USDC (ARB),deltaprime,16.84718,298.53,1.99
USDT (POL),stargate,8.00428,242.66,1.62
FRAX (ETH),frax-finance,11.15115,208.82,1.39
