Protocol,Rating,Tier
aave,42736672229127.555,B
uniswap,12206202763773.062,A
curve-finance,3935231956824.357,A
morpho,2724356111314.398,B
spark,1725380026025.0032, B
convex-finance,1353199554263.0898, B
pancakeswap,1139613998287.284,
kamino,742294051068.1277,C
yearn,271681406982.4333, C
stargate,71754201409.17766,F
pangolin,29412615056.339996, C
