Token-Name,Token-Contract,Rating
USDT,ethereum:0xdac17f958d2ee523a2206206994597c13d831ec7,381355450437332.63
USDC,ethereum:0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,66764866508856.92
DAI,ethereum:0x6b175474e89094c44da98b954eedeac495271d0f,8898639088853.21
